@Jessica_Chobot did you see the yakuza vs zombies .... smh but cool at the same time	the yakuza	{'the yakuza': '/en/the_yakuza'}
PLANO BALLOON FESTIVAL 2010 TO START TODAY : The 31st annual Plano Balloon Festival , Plano Balloon Festival 2 ... http://tinyurl.com/22kg6uz	Plano Balloon Festival	{'Plano Balloon Festival': '/en/plano_balloon_festival'}
Today in art this kid was like Are you going to homecoming tonight ? Other kid : No , I'm going to be at home ... coming . RT If you get it !		{}
@flossyflop It's a slightly off night tonight . Lots of requests I wouldn't normally play cos they're too slow .		{}
i have a feeling that this weekend will be amazing ... or at least tonight will be .		{}
@SQicedragon How can I get the updates ? I created a login for it today , will it let me know automatically next time ?		{}
@JoshenReborn let me know if or when you are coming . #FullHouse		{}
@VicapherIsDaddy ilike to call it that too . I dnt knw why people talk hella sht over tha internet ' imean iadmit ibe qassin hoes when ..		{}
time to get some sleep . been out from 4pm till now .		{}
n dude .... one of the new choir teacher that they interviewed ( we had him all week ) gave us DONUTS !!!! haha hes nice		{}
RT @KarlaRay : What a day in #Collier ! Watch @NBC2 at 6 for details on the latest growhouse bust and the county's first-ever West Nile d ...	county||West||West Nile||#Collier||Nile	{'county': '/en/derby_county_fc', 'West': '/en/west_bromwich_albion_fc', 'West Nile': '/en/west_nile_sub-region', '#Collier': '/en/collier', 'Nile': '/en/nile_ranger'}
800 miles to see clients , 3 ACC candidate/commissioner meetings , big press release , making it to Friday .. PRICELESS !		{}
haha dia 25 vou ver a @bandahydrogen less than 20 seconds ago via web		{}
RT @TeamVA : 81 Days Till Last Sacrifice		{}
RT @justinbieber : RT @StephLeveridge @justinbieber i'm having a bad day :( Just a hi from you would turn it around (: Love you xxxxxxx = HI !		{}
@AddieWilliams Dat's what I'm talkin ' ' bout . In 20 years who knows . Maybe Mr. and Mrs. .. ?	Mr.||Mrs.	{'Mr.': '/en/mr', 'Mrs.': '/en/mrs'}
Got my phone taken up today . Guess why . @justinbieber . That's why .		{}
On my way to my dentist appointment ugh ! i hate the dentist !! remember kids brush 3 times a day and floss twice and u'll have a great #smile		{}
Logging off for today . About to go enjoy my #wkndread Sandman Slim by Richard Kadrey . Love #wkndreads :)	Slim||Sandman||Richard Kadrey	{'Slim': '/en/slim_thug', 'Sandman': '/en/homeboy_sandman', 'Richard Kadrey': '/en/richard_kadrey'}
@AlineLemos T.T Ainda vou fazer o Caroleta's Day [ ? ]	Ainda	{'Ainda': '/en/marisa_monte'}
RT @OMGTotallyLegit : Having a dream about someone then feeling weird about them the next day . #OMGTotallyLegit		{}
At 7pm we'll show the Awarded movie " Agora " by Spanish director Alex Amenabar who directed " Mar Adentro " ( " The Sea Inside " ) . W/Rachel Weisz .	Mar Adentro||Spanish||Alex||Agora||Weisz	{'Mar Adentro': '/en/mar_adentro', 'Spanish': '/en/spain', 'Alex': '/en/alex_pettyfer', 'Agora': '/en/ancient_agora_of_athens', 'Weisz': '/en/rachel_weisz'}
VMAs . (: I control my own life , Charles was never in charge !! It's def one of THOSE days . Haha	Charles	{'Charles': '/en/charles_v_holy_roman_emperor'}
Public encouraged to attend Saturday's memorial for jazz great Caliman at First Baptist on Harvard http://bit.ly/bsnOkT Musical celebration	jazz||Harvard	{'jazz': '/en/jazz', 'Harvard': '/en/harvard_university'}
#Offline For along time ... maybe not until tomorrow		{}
RT @geriatricus : May we all reflect on the workings of our hearts , and in our acts , with our Jewish friends and loved ones at the cusp o ...		{}
when a woman says , " we need some time , we need a break " that #reallymeans " i am about to leave you , do something for me "		{}
New show announced in Orillia , ON at Leacock Museum on October 24 , 2010 http://artistdata.com/a/26up	Orillia||Museum	{'Orillia': '/en/orillia', 'Museum': '/en/museum'}
Oh sneaks , how I love turning on my computer ( or well my dad's as case may be ) and finding me some sneaks . Can't wait for Thursday !!		{}
Photo : Chillo ?? Trying out for the 1st time this shit !! http://tumblr.com/x0jiuemje	Chillo	{'Chillo': '/authority/us/gov/hhs/fda/srs-unii/WF621S7K14'}
signing along to Remembering Sunday		{}
RT @ArtVanFurniture : Mr. Van sure is busy today . Here , he takes time to talk with a crew from @wilxTV . http://twitpic.com/2pb3i4	Van||Mr. Van	{'Van': '/en/van', 'Mr. Van': '/en/beavis_and_butt-head'}
@shhaunna_btm i'm not ignoring you doll .. i'm doing my friday follows		{}
Salt tasting today http://yfrog.com/07kicyj		{}
Morning . Work today . Hope I get lots of money . They're going to be in a bad mood due to #geelong ... #MelbourneTomorrow	#geelong	{'#geelong': '/en/geelong_football_club'}
Excited to spend time with my best friend and relax this weekend ! Been a crazy intense but GOOD week !		{}
Doing " spring cleaning " , found photo storage tank that is 5x size of my iPhone with less capacity than iPhone4 ... 4 years old , technology !	iPhone4||iPhone	{'iPhone4': '/authority/musicbrainz/413b4027-515b-4d7a-bcf9-9e8fcff0f24f', 'iPhone': '/en/iphone'}
Oh and who's fixin ' to go to MAiZE tomorrow night with some people and I ?	MAiZE	{'MAiZE': '/en/maize'}
Friday deal ! Save 30% on select new arrivals by @MizMooz . Check it out ! http://bit.ly/cDXN4		{}
Let's go to the funny bone to see @deraydavis RT @MzT_If_UNasty : So wat we doing tonight ? @coley_baby @chelsea_fay11 @hoggy_allday		{}
photographing the midway tonight .. should be fun .. lots of fun lights !! makes for great photos .. like this one .. http://twitpic.com/2pdvsw		{}
twenty-four days for Costa do Sauipe *-*	Costa||Sauipe	{'Costa': '/en/costa_rica', 'Sauipe': '/en/bahia'}
heheRT @yuuuiee : @nissawaww LOL RT MirLes : jamanSD kalo nyabutin uban bokap dpt 100 perak satu uban ... eh , i tweeted this before ! Dejavu :-p	Dejavu||perak||kalo	{'Dejavu': '/en/dejavu_fonts', 'perak': '/en/perak', 'kalo': '/en/taro'}
Movies Tonight ? ( :		{}
Tomorrow's the big day ! Our Pet Spa and Adoption Event with Evergreen Subaru is from 10am to 1pm and we can't ... http://fb.me/I3aLAgtp	Pet||Spa||Subaru||Evergreen	{'Pet': '/en/positron_emission_tomography', 'Spa': '/en/spa_24_hours', 'Subaru': '/en/subaru_world_rally_team', 'Evergreen': '/en/evergreen'}
Lohan fails drug test : reports : Oh no , LiLo ! Several gossip websites reported Friday afternoon that Lindsay Lohan ... http://bit.ly/aKHoZc	LiLo||Oh no||Lindsay Lohan	{'LiLo': '/en/lilo_pelekai', 'Oh no': '/en/oh_no_they_didnt', 'Lindsay Lohan': '/en/lindsay_lohan'}
I just took " When your mom makes you go live with your dad Scooter Braun , your life ... " and got : Part 5 ! Try it : http://tinyurl.com/3a5qeu6	Braun	{'Braun': '/en/wernher_braun'}
RT @iSplashInYoMouf : RE*TWEET IF YOU SMOKING TONIGHT ?		{}
Y La Bamba : Playing a show in Portland , OR at 9:00 PM today at Mississippi Studios http://artistdata.com/a/1kdx	La Bamba||Portland||Mississippi	{'La Bamba': '/authority/musicbrainz/87e1b5a0-e91c-35a5-8506-52aa594e84de', 'Portland': '/en/portland_state_university', 'Mississippi': '/en/mississippi_valley_state_university'}
Thank u ! xo RT @Kadzyq : Happy Bday !! From all ur fans in the Middle East :) hope to c u n the voices with Yanni in concert here some day :)	the Middle East||Yanni	{'the Middle East': '/en/middle_east', 'Yanni': '/en/yanni'}
3 weeks of school and i'm already fed up with it . come back , summer .		{}
New Comic List is out for Next Week ( September 22 , 2010 ) and don't forget to stop by Today from 5-8pm for Happy ... http://fb.me/JLaJCWdu	List	{'List': '/en/list_a_cricket'}
@NTRLDisaster well I'm sure u could do it one at a time with Paco ( Thats my cars name ) plust there's a roof rack on top u can tie stuff too ?	Paco	{'Paco': '/en/paco_de_luca'}
No one cares .... RT @RapperBigPooh so Cudi got a problem with Wale now ? why ? when did this happen ? is this musical or personal ?	Wale||No one cares||Cudi	{'Wale': '/en/wale', 'No one cares': '/en/no_one_cares', 'Cudi': '/en/kid_cudi'}
Our Favorite YouTube Videos This Week : The Drama Edition : Had any epic meltdowns this week ? You know , of the cr ... http://bit.ly/cuy0yt #in	YouTube	{'YouTube': '/en/youtube'}
Nothing like a 3pm Friday meeting !		{}
@josiery Hope that I can make it on time . Wish that I'll be an ' S.S ' in the end of the year :)	S.S	{'S.S': '/en/ss_lazio'}
@x_yesenia me too ! i cant wait for the new season to start this week (:		{}
Read so much on India , looks like a cert for future vacation , when I'm retired probably - http://bit.ly/b9vMjW	India	{'India': '/en/india'}
must be a slow news day for everybody 2 b talkin bout a known druggie/acoholic bi actress testin pos . for caine	caine	{'caine': '/en/michael_caine'}
Maybe it's compulsary .. when you're over the age of 30 and an unemployed wrestler you have to act like a total tool . http://fb.me/GpyFjTgp		{}
Thank God it's finally Friday ! I really needed this . :-)	God||Friday	{'God': '/en/god_the_father', 'Friday': '/en/good_friday'}
@GOBLUE_FUCKosu it was our 10th grade year . smh		{}
@glorybeful Well ... thats why they invented ... tomorrow ! :oD		{}
Fuckk man ! I fuckinn missed @yelyahwilliams concert :( #shizz ! I wonder if they're coming to Arizona next year ??	Arizona	{'Arizona': '/en/arizona'}
RT @yikes77 : @DonnieWahlberg I have a feeling that when it comes to you , you need more than just ONE date . - YUP !!!!		{}
ooh didn't know we was at home tomorrow . Silly billy	billy	{'billy': '/en/billy_graham'}
The end of another week for MTS ,	MTS	{'MTS': '/en/mobile_telesystems'}
http://sk.mu/aEnsGunwfr9 : Above&Beyond - Trance Around The World 338 ( Wippenberg Guestmix ) ( 17 September 2010 ) #Trance #Trancefamily #TATW		{}
RT @cinnzcocky_yep " I got lots of gualllluhh I spend it " --> drinks on u next time		{}
Done teaching in Viera time for some eats and back to orlando , possibly swing dance tonight !	orlando||Viera	{'orlando': '/en/orlando', 'Viera': '/en/viera'}
@SammieLynnsMom @tg10781 they will be all done by Sunday trust me * wink *		{}
complete kiddie goodness today . first a kids party followed by a night at the circus followed by another kiddie party tomorrow .		{}
CyberNation Sky 3D enlists Stephen Fry to explain the technology ahead of its October 1 launch ( video ): With the o ... http://bit.ly/aWoRmo	Stephen Fry||Sky||3D	{'Stephen Fry': '/en/stephen_fry', 'Sky': '/en/sky_digital', '3D': '/en/3d_episode'}
@CHRIS_Daughtry I knew it was a joke ;) That's why I was ROTFLMAO when you posted that ! ;) Sorry some people just can't take a joke . :)		{}
RT @OMBieberJokes : Little Girl : Santa Is So Awesome ! Me : No Little Girl ... You Only Use The Word " Awesome " When You Are Referring To Just ...	Santa	{'Santa': '/en/santa_claus'}
@Beauty_NsideOut when i TOLD you i was goin back to sleep ! #Crazy		{}
@AppleJoey_ Buut . Ill have to get on my phone . Im going to some thing with my friends tonight . D:		{}
@rishi_syd hey , I'm fine !! Thanx :) u too have a great day ;)		{}
FAN Art in Club Penguin :) : Here are this weeks Club Penguin FUN Art Drawings :) The Snow Fort is a Super FUN Plac ... http://bit.ly/bCc2MS	Snow Fort||The Snow	{'Snow Fort': '/en/snow_fort', 'The Snow': '/authority/imdb/title/tt2294629'}
@BEE_LYNN_BAYBEE Funniest shit of the day " Im officially blown . Dont wanna to talk about it " lls		{}
@edryall @sjo_m you been 23 for a few years now #really27		{}
@dancindeac bet the vino tastes especially good this week . ;-)		{}
RT @JAMESINREHAB : @4094jij05b it's in England . Will tweet tomorrow if they let me ...	England	{'England': '/en/england_national_football_team'}
weekend saturday - c daij sunday church saturday evening - get sht faced sunday evenin home work wat a life monday school hbu ?	sunday	{'sunday': '/en/the_sunday_times'}
Beginning what I hope will be a long and wonderful relationship with it's always sunny . Since I do own season 1 and 2 on DVD already .	DVD	{'DVD': '/en/dvd'}
@MakeDaPussyDrip ALL DAY		{}
I just took " ( All Parts ) + (* New Season 2 , All Parts *) You've been fri ... " and got : PART 10 , A MILLION YEARS !! Try it : http://bit.ly/bRCD9M		{}
Check it out !! $1497-$3497 per day !! WWW.bigbucksonline.info		{}
@IZONModels we all need it from time to time . :)		{}
u kno that day when the wanted will go 2 a radio station to find out if there number 1 with heart vacancy , when will that be ?		{}
We are tied as the 5th band to compete in South 107's Battle of the Bands next Friday for the spot to open for ... http://fb.me/IxhGnUhs	South	{'South': '/en/south_by_southwest'}
Had a Helluva Schedule Yesterday , Today and Tomorrow .. Finally get to rest on Sunday .. Unless there's work to do out there o_O #ImJustSaying		{}
@jimmiebjr Nope . I think you believe she's a time bomb and should be sacrificed if necessary .		{}
RT @justingodsey : When the eagles fly high , they make all the smaller birds jealous .		{}
Do any of you take the time to look up at the stars at night ? #Anybody ?		{}
If you can smile when things go wrong , you have someone in mind to blame .		{}
He said Rihanna all low toned and shit !! Prolly the first time he said her names in AGES !!! LMFAOOOOO	Rihanna	{'Rihanna': '/en/riannah'}
Year 10 is a bitch		{}
RT @EckoMMA : CRAZY #FF DEAL !!! We'll give away 50 free tees to followers if we hit 10K followers today . You must be following & must RT !		{}
tomorow on day off !! youppppiiieeee		{}
I won an election today . It means I get to go to head office and have lots of meetings . It shall be tough but I'm looking forward to it .		{}
Imma get your heart racing in my skin-tight jeans be your teenage dream tonight ....		{}
havnt lost a game in open gym all week .. now to go get dat fresh cut		{}
The Get Up Kids , Sunny Day Real Estate , and Cap'n Jazz are quite possibly the greatest ( original ) emo bands to ever exist . Ever . So listen .	Cap'n Jazz||Sunny Day Real Estate||Jazz||The Get Up Kids	{"Cap'n Jazz": '/en/capn_jazz', 'Sunny Day Real Estate': '/en/sunny_day_real_estate', 'Jazz': '/en/acid_jazz', 'The Get Up Kids': '/en/the_get_up_kids'}
@raytida Travelling light ftw . When I came here first , I had one half-empty books-based suitcase and one clothes-based suitcase . That's all		{}
Having some coffee , the only way I'll make it through tonight .		{}
RT @JBieber_isHOT : When Justin gets a girlfriend ... its going to be World War 3 !!!!!!	World War||Justin	{'World War': '/en/wcw_world_war_3', 'Justin': '/en/paul_lloyd_jr'}
Role of a Real Estate Lawyer in FSBO | eHowcom : Role of a Real Estate Lawyer in FSBO . When you purchase property i ... http://bit.ly/cGsTy1	FSBO||Real Estate	{'FSBO': '/en/fsbo_madison', 'Real Estate': '/en/real_estate_broker'}
#cricket Lancashire let Powell go early : Lancashire have released West Indies fast bowler Daren Powell a year befo ... http://bit.ly/aLxTis	West||Indies||Daren Powell||West Indies||Lancashire||Powell	{'West': '/en/west_midlands', 'Indies': '/en/french_west_indies', 'Daren Powell': '/en/daren_powell', 'West Indies': '/en/french_west_indies', 'Lancashire': '/en/lancashire', 'Powell': '/en/chris_powell'}
@cprieboy At the end of the year ? Sometime in May . They are just starting at the beginning of August now instead of the middle .	the beginning||the middle	{'the beginning': '/en/the_dukes_of_hazzard_the_beginning', 'the middle': '/en/malcolm_in_the_middle'}
RT @diggy_simmons : Last day ..... http://twitpic.com/2g9c1e		{}
and I wonder if I ever cross your mind ... For me it happens all the time		{}
havent been on facebook for a day . go on and have 0 notifications #foreveralone	facebook	{'facebook': '/en/facebook'}
RT @bobbyhundreds : After a few episodes , I think I've figured out how to catch a predator . It seems you just ask them to take a seat .		{}
@shoeboxL Happy Birthday ! s/n what did I miss in Doc Lewis ' class today ? lol	Doc||Lewis	{'Doc': '/en/doc_martin', 'Lewis': '/en/inspector_lewis'}
neck hurts and no time to schedule acupuncture and massage .		{}
@Surfrdan to be fair though it's roughly the millionth time he's played Tony Blair .	Tony Blair	{'Tony Blair': '/en/tony_blair'}
Hoyy One Day Lindooo Pero Un Touch De Aburrimiento :S	Touch||Un||Pero||De	{'Touch': '/en/touchscreen', 'Un': '/en/united_staff', 'Pero': '/en/pero_italy', 'De': '/en/legion_dhonneur'}
RT @fresh_av8ted : Tonight ! " Sex In The City " Pt . 2 at #ZULA ! Hosted By : 30+ Beautiful Ladies ! [ PLz RT ]	#ZULA	{'#ZULA': '/en/zula'}
My eyes are supeeer dark today .. john says its cuz im overtired .. :/	john	{'john': '/en/gospel_of_john'}
overheard on subway ... " so when you run , do your elbows sweat ? "		{}
This next question , may take a few moments to research . BUT the answer IS on JavaMonkeys.com . So , we will pick a ... http://fb.me/GTRhPujh		{}
I distinctly remember someone giving me chocolates last week . I don't recall eating a single piece . They're nowhere to be found of course .		{}
A nigga not even startin tonight , they must be tryna get our bakc up QB hurt . smdh	QB	{'QB': '/en/quarterback'}
Anyone is the valley want " Around The World Twice " written by me and Kathie ? Just got a box half are gone won't last long . Inbox me :)	the valley||Around The World||Kathie	{'the valley': '/en/deep_in_the_valley', 'Around The World': '/en/around_the_world_in_80_days_2004', 'Kathie': '/en/kathie_lee_gifford'}
@bowlerhatlover Been trying to find a copy of " Nostalgia " for years . http://hollisframpton.org.uk/		{}
#blackholidays TD Jakes Day	Day	{'Day': '/en/operation_neptune'}
Time to go , hihi ! Beijinhos , seus viciados : *	Beijinhos	{'Beijinhos': '/authority/musicbrainz/5bd224b6-286c-41f6-b894-25c740c54878'}
Shows Tonight-Local Natives @TheMusicBoxLA , Primus @ClubNokia Marina&Diamonds @ElReyTheatre , Mystery Jets @TheTroubadour ( via @TheScenestar )	Mystery Jets||Primus||Marina&Diamonds	{'Mystery Jets': '/en/mystery_jets', 'Primus': '/en/primus', 'Marina&Diamonds': '/en/marina_the_diamonds'}
" Count your age by #friends , not years . Count your life by #smiles , not tears . " #quote John Lennon #quotes	John Lennon	{'John Lennon': '/en/the_death_of_john_lennon'}
Checking out this weeks tell ' em Steve Dave Podcast	Dave||Steve Dave Podcast	{'Dave': '/en/dave_brubeck', 'Steve Dave Podcast': '/en/smodcast'}
Tonight , dinner with friends <3		{}
RT @DaisyCottageIRL : #FridayTwiz Q10 What is a Cruciverbalist ? Answer : someone with WAY too much time on their hands . #ShouldTakeUpDarning		{}
PeopleSearchAffiliates.com: #1 For Over 2 Years : Make money today ! Most lucrative people search products on CB for ... http://bit.ly/aVU9RU	CB	{'CB': '/en/defender'}
sfitzy93 asked : No problem (: awesome ! toast = life :P .. You doing anything for the day ? http://tumblr.com/xkdiufb81		{}
Pretty much any time I get an email from someone who puts " PhD " in the from field , I know there's going to be trouble	PhD	{'PhD': '/en/dr_philos'}
Might have an early night got to help Rob finish the decorating tomorrow	Rob	{'Rob': '/en/rob_zombie'}
Katie up 6-0 after 1st	Katie	{'Katie': '/en/jordan_1978'}
i may have failed , but yeah i loved you from the start - i should continue editing and stop quoting .		{}
<3 @CamrynRocks always brightens up my day . you should follow her and listen to her wonderful music . <3		{}
Gets To See Lindsay Tonight ! :D :D : LD <3 Love YOu Beautiful !!	Love YOu||Lindsay	{'Love YOu': '/en/i_love_you_man', 'Lindsay': '/en/lindsay_sloane'}
whats the point in being on the computer if i can just be mobile all the time ? exactly .		{}
Mr Ehrlich uses bd language after school	Mr	{'Mr': '/en/magnetic_resonance_imaging'}
@masalaskeptic that's how I got this nickname . Told I looked like the muppet . And I kind of did the same jom when I did theatre work .	jom	{'jom': '/en/jom'}
RT @AniCoronado : #ZodiacFacts As a #Taurus it may seem like things are falling into place , and this feeling gives you a surge of energy .		{}
#uknouugly when #TeamFollowBack dnt follow you back		{}
My boobs look HUGE today ! =D		{}
My dad is laughing because in some translations Mark 14:30 says : " ... Before the COCK crows ... " . I've never been so proud LOL	Mark 14	{'Mark 14': '/en/mark_14'}
Avast AntiVirus 4 8 PROFIONAL Full Life Time Key : Avast AntiVirus 4.8 PROFESIONAL Full with Life Time Keygen ! ---- ... http://bit.ly/blPqIH		{}
Looking for something to do tonight ? Samuel Savoirfaire Williams at Potbelly Lincoln Park in Chicago , IL http://bit.ly/bKMFgi	Samuel||Chicago||Potbelly||IL||Lincoln Park||Williams	{'Samuel': '/en/samuel_beckett', 'Chicago': '/en/chicago_bulls', 'Potbelly': '/en/potbelly', 'IL': '/en/illinois', 'Lincoln Park': '/en/lincoln_park_chicago', 'Williams': '/en/deron_williams'}
This Time's fundraiser ends 9/20 . Incentives include raffles & access to the video shoot ustream - http://www.cassidyhaley.com/thistime.php	ustream||raffles	{'ustream': '/authority/twitter/UstreamTV', 'raffles': '/en/stamford_raffles'}
I don't understand why some dudes get mad when you flirt with someone else ...		{}
Recording vocals tonight ! Can't wait for the song to be done !		{}
@LesColyer Who do you film for ? I was on SKY news 2 weeks ago #checkmeout	SKY news	{'SKY news': '/en/sky_news'}
Vintage sports cars capture the feeling of an earlier time http://bit.ly/aZCBOm #classic #cars		{}
i've had a wicked week		{}
Time to fire up the grill again . I do believe it will be chicken .		{}
Facebook Job-Hunting App BranchOut Raises $6 Million From Accel And Super Angels : When you want to hang out with ... http://bit.ly/aLTo95	Angels||Facebook||Super||Accel	{'Angels': '/en/blue_angels', 'Facebook': '/en/facebook', 'Super': '/en/f_a_18e_f_super_hornet', 'Accel': '/en/accel_partners'}
Tomorrows plan is a little skirt along the coast then a stop in Glenveagh national park , should be a picturesque day . Est 85 mile of riding	Glenveagh	{'Glenveagh': '/en/glenveagh'}
overnight tonight ... gheyyyy		{}
It sucks when you waiting for the bus with your bike , then it shows up with two bikes already on it .		{}
e o q vai ser hj ? cerveja foi ontem ... que tal um vinho pra variar um pouco !! friday's celebrate !!! yupppppp	vinho	{'vinho': '/en/rallye_de_portugal'}
como saben que danger days es el nombre del disco ?		{}
What A Great Day ! Except For Another Schedule Change :/ Dance Tonightt ! ( :		{}
RT @mari_dj : e nem joguei direito . no outro time estava o monstro do vitor D: ushuahsahs	monstro||vitor	{'monstro': '/authority/musicbrainz/b75f9858-5e57-43d6-80c7-781f32f8ec9b', 'vitor': '/en/vitor_belfort'}
FRIDAY .... home alone ! xD wanna join me ??		{}
@morgancharlie mmm deffo one of ' those ' thought provoking days :/ Never mind , onwards & upwards we shall go !!		{}
RT @PhilKeoghan : Private sneak peak of ' The Ride ' my ride across USA , tonight only , San Francisco 6pm contact Jennifer.Gainza@nmss.org	San Francisco||USA	{'San Francisco': '/en/san_francisco', 'USA': '/en/united_states'}
Summer has come and past , the innocent can never last . Wake me up when September ends .		{}
Consider the world's top-ranked golfer , Tiger Woods . If a guy who can rake in a billion dollars in a year can also ... http://bit.ly/94sBNr	Tiger Woods	{'Tiger Woods': '/en/tiger_woods'}
@aplusk What made you laugh ? This did , courtesy of @rainnwilson http://www.officetally.com/rainn-wilson-and-friends-seattle-oct-23		{}
inspired yet again to write .. cant wait to share my testimony .. cant wait for the day when im taken underwater brought back up .. BORN AGAIN		{}
So happy this hellish week is over ! Nothing that some sushi and sake can fix ;)		{}
I love to see a child's face when they think of the fairies . Like a fairy their little faces light up :)		{}
RT @DollarVanDemos : #BROOKLYN ! Stay up late tonight to catch the 1 hr special of Demos @ 3AM on BCAT feat @BlissyCakes @YaGirlNicolette ...	BCAT	{'BCAT': '/en/brooklyn_community_access_television'}
Reading : Tips : Long-press address bar to share URL : Shared by Renee Or as I'd describe it , a shortcut to the " N ... http://bit.ly/cPZU6A	Renee	{'Renee': '/en/renee_zellweger'}
@Jacksonter Haha , i laugh every time at the memory of your facial expression transforming : L		{}
@JulyzOwn_23 TODAY BESTIE !!! He was at my school , and I saw him on my way to practice !!		{}
@Daniim92 tks :D obviously its one of the happiest day in my life lol		{}
@stefaniwashburn Me too ! I always get so full with chips and salsa before my entree comes ? I like the Verde salsa the best !	Verde	{'Verde': '/en/cape_verde'}
Ha ! RT @julie_cook : thanks port city java for the caffeine . not so sure my coworkers will be as pleased when i start shooting off emails at		{}
@dolemite4 haha . I might be comin into town next week !		{}
Today the mall was full of moms who love scrapbooking . kill me .		{}
WHATS GOODIE EVERY1 COOLIN COOLIN FEELIN THE BREEZE #FRIDAY #MANIA	#FRIDAY	{'#FRIDAY': '/en/wwe_friday_night_smackdown'}
@LightBringer87 I'm too busy asking @leestanleyinnqy formspring questions , I may get around to you later ;)	formspring	{'formspring': '/en/formstack'}
@write_as_rain you need to listen to that green day song .		{}
I only just found out yesterday that KRISTEN BELL is the voice of #GG : l	#GG||KRISTEN BELL	{'#GG': '/authority/fifa/GEO', 'KRISTEN BELL': '/en/kristen_bell'}
RT @USArmy : #USArmy recognizes today as National POW/MIA Recognition Day . Visit http://www.dtic.mil/dpmo/pow_day/ to read the Presidenta ...	National||National POW/MIA	{'National': '/en/nazism', 'National POW/MIA': '/authority/us/gov/loc/sh/sh90005923'}
@JusSimplyMee I think i'm going to start buying chipotle for ONE lucky girl every week lol		{}
@Mayuko_115 You're welcome ! Yes , it saved a lot of time , although i still had a few twits i wanted to #ff that weren't on the @ffhelper list		{}
Jackie joins Twitter 50 years after JFK campaign [ AP : US News ] http://bzbx.us/uEf #50 #Campaign via buzzbox.com	JFK||Twitter||Jackie||US||AP||US News||News	{'JFK': '/en/john_f_kennedy_airport', 'Twitter': '/en/twitter', 'Jackie': '/en/jacqueline_kennedy_onassis', 'US': '/en/us', 'AP': '/en/associated_press', 'US News': '/en/u_s_news_world_report', 'News': '/en/yahoo_news'}
Said it once and I will say it again , when someone shows you who they are , BELIEVE THEM !!		{}
Who's excited for #UNM homecoming ?! Check out the COP tailgate ... 65 years is definitely something to celebrate about . Oct . 2 @ 1 p.m.	Oct||#UNM	{'Oct': '/en/hyoscyamine', '#UNM': '/en/university_of_new_mexico'}
RT @sweetwaterbrew : 1st batch of Exodus Porter went into the brew house today ! going exclusively into the winter edition of the tackle ...	Exodus||Porter	{'Exodus': '/en/the_exodus', 'Porter': '/en/porter'}
Coding typo of the day : " resluts " -> " results "		{}
@YFarahat @n_atalla I stopped buying bottled water for like 2 years :) installed a water filter and it's great . Water taste like water now :)		{}
For women the best aphrodisiacs are words . The G-spot is in the ears . He who looks for it below there is wasting his time .		{}
total 9 for Clark Duke RT @Naathan_B : Just watched hot tub time machine . Funny film ! Quite enjoyable ! Hmm 7.5 /10	Clark Duke	{'Clark Duke': '/en/clark_duke'}
RT @PHANTHANHstic " Good Morning ! Have a pleasant and happy day ! "		{}
@sporty191 MUAH !!!!! Hope you had a gr8 day today ! XO		{}
John Acuff joined @daveramseys team ! sweet ! I hope Dave gives him his own show one day , but i'm excited for JA and wish him all the best	Acuff||Dave||John||JA	{'Acuff': '/en/roy_acuff', 'Dave': '/en/dave_matthews_band', 'John': '/en/john_legend', 'JA': '/en/ja_rule'}
@N4T4YLOR he'll probaly have something completely different now ! Hope your havin a good time		{}
Chicago Weekend Events : Lebowski Fest , Dave Matthews , Latin Music And More : The lively weekend ( well , Friday throu ... http://bit.ly/cLTnyl	Latin||Dave Matthews||Chicago	{'Latin': '/en/latin_church', 'Dave Matthews': '/en/dave_matthews_band', 'Chicago': '/en/roman_catholic_archdiocese_of_chicago'}
@millyTW__ night :) I'll have more for you to dream tomorrow I'm in tha mood for writing ;)		{}
I hope you will have a blessed and nice time off this weekend . Love your children , love your pets and enjoy all the goodness in your life .		{}
30 Mosques in 30 Days : A Trip Through Islamic America http://dlvr.it/5RdYv	America	{'America': '/en/united_states'}
@MrsTiaJ no you're the jerk-o for lying . Plus I had just decided like 10 mins before then that I wasn't coming		{}
@Nikitajonesxo mhm fo sho ! i like being able to walk over when im bored ha		{}
@TobyHymer you whittier kids have been on a public bus before :o ? Haha jk !	whittier	{'whittier': '/en/whittier'}
@niamh_schnapps fuckin yeaaaaaa march 1st omgomg best news !!!!		{}
The EYE of the Storm .... The Calm Before It ...		{}
waiting one extra day was a STUPID IDEA because now everything is super expensive AAAAAHHH . x_x * freakingoutkhsf *		{}
Soo Glad its Finally Friday ! Thiss week went to slow fo'me:/		{}
This is one of my favorite days on twitter ever . @radhallman and @foofmcewan kudos	twitter	{'twitter': '/en/twitter'}
Lmaao ! RT @TheHomieJoseph I hate when people try to have a convo & ask " what's your name " lol com'on now its right there		{}
This week I have peed a lot and have eaten very well . Weekend , please don't kill me .		{}
Click 4 Details >>> http://schmap.it/u046mn SEDUCTION SATURDAYS @ CALABASH LOUNGE SEP 25TH #DABOSS #CALABASH #WJE	CALABASH	{'CALABASH': '/en/calabash'}
@SneakyLix thx ! btw i'll text u in a bit ! i just got home , trying to dL some songs , and gonna head to my bf's . i'll text u when i get there		{}
@kajelly_milk (: but hey .. its all good . i like him haha & omg jason kept touching me today D; i was like man stop touching O:	jason	{'jason': '/en/jason'}
