@Jessica_Chobot did you see the yakuza vs zombies .... smh but cool at the same time	['the yakuza']
@shoeboxL Happy Birthday ! s/n what did I miss in Doc Lewis ' class today ? lol	['Happy Birthday', 'Doc', 'Lewis']
neck hurts and no time to schedule acupuncture and massage .	['no time']
@Surfrdan to be fair though it's roughly the millionth time he's played Tony Blair .	['Tony Blair', 'he']
RT @fresh_av8ted : Tonight ! " Sex In The City " Pt . 2 at #ZULA ! Hosted By : 30+ Beautiful Ladies ! [ PLz RT ]	['In The City', '#ZULA']
My eyes are supeeer dark today .. john says its cuz im overtired .. :/	['My eyes', 'john']
overheard on subway ... " so when you run , do your elbows sweat ? "	[]
This next question , may take a few moments to research . BUT the answer IS on JavaMonkeys.com . So , we will pick a ... http://fb.me/GTRhPujh	['the answer']
I distinctly remember someone giving me chocolates last week . I don't recall eating a single piece . They're nowhere to be found of course .	[]
A nigga not even startin tonight , they must be tryna get our bakc up QB hurt . smdh	['QB']
Anyone is the valley want " Around The World Twice " written by me and Kathie ? Just got a box half are gone won't last long . Inbox me :)	['the valley', 'Around The World', 'Kathie']
@bowlerhatlover Been trying to find a copy of " Nostalgia " for years . http://hollisframpton.org.uk/	[]
#blackholidays TD Jakes Day	['Day', 'TD Jakes Day']
" Count your age by #friends , not years . Count your life by #smiles , not tears . " #quote John Lennon #quotes	['John Lennon']
Checking out this weeks tell ' em Steve Dave Podcast	['Checking out', 'Dave', 'Steve Dave Podcast']
Tonight , dinner with friends <3	['dinner with friends']
RT @DaisyCottageIRL : #FridayTwiz Q10 What is a Cruciverbalist ? Answer : someone with WAY too much time on their hands . #ShouldTakeUpDarning	['too much']
PeopleSearchAffiliates.com: #1 For Over 2 Years : Make money today ! Most lucrative people search products on CB for ... http://bit.ly/aVU9RU	['CB']
sfitzy93 asked : No problem (: awesome ! toast = life :P .. You doing anything for the day ? http://tumblr.com/xkdiufb81	['the day', 'sfitzy93']
Pretty much any time I get an email from someone who puts " PhD " in the from field , I know there's going to be trouble	['PhD', 'there']
Might have an early night got to help Rob finish the decorating tomorrow	['Rob']
Katie up 6-0 after 1st	['Katie']
i may have failed , but yeah i loved you from the start - i should continue editing and stop quoting .	[]
<3 @CamrynRocks always brightens up my day . you should follow her and listen to her wonderful music . <3	['my day']
Gets To See Lindsay Tonight ! :D :D : LD <3 Love YOu Beautiful !!	['Lindsay', 'Love YOu']
whats the point in being on the computer if i can just be mobile all the time ? exactly .	['the point', 'i can', 'just be', 'the time']
Mr Ehrlich uses bd language after school	['Mr']
@masalaskeptic that's how I got this nickname . Told I looked like the muppet . And I kind of did the same jom when I did theatre work .	['jom']
RT @AniCoronado : #ZodiacFacts As a #Taurus it may seem like things are falling into place , and this feeling gives you a surge of energy .	[]
#uknouugly when #TeamFollowBack dnt follow you back	[]
My boobs look HUGE today ! =D	[]
My dad is laughing because in some translations Mark 14:30 says : " ... Before the COCK crows ... " . I've never been so proud LOL	['Mark 14']
Avast AntiVirus 4 8 PROFIONAL Full Life Time Key : Avast AntiVirus 4.8 PROFESIONAL Full with Life Time Keygen ! ---- ... http://bit.ly/blPqIH	['Life Time', 'AntiVirus']
Looking for something to do tonight ? Samuel Savoirfaire Williams at Potbelly Lincoln Park in Chicago , IL http://bit.ly/bKMFgi	['Lincoln Park', 'Samuel', 'Williams', 'Potbelly', 'Chicago', 'IL']
This Time's fundraiser ends 9/20 . Incentives include raffles & access to the video shoot ustream - http://www.cassidyhaley.com/thistime.php	['This Time', 'raffles', 'ustream']
I don't understand why some dudes get mad when you flirt with someone else ...	['someone else']
Recording vocals tonight ! Can't wait for the song to be done !	[]
@LesColyer Who do you film for ? I was on SKY news 2 weeks ago #checkmeout	['SKY news']
Vintage sports cars capture the feeling of an earlier time http://bit.ly/aZCBOm #classic #cars	['the feeling']
i've had a wicked week	[]
Time to fire up the grill again . I do believe it will be chicken .	[]
Facebook Job-Hunting App BranchOut Raises $6 Million From Accel And Super Angels : When you want to hang out with ... http://bit.ly/aLTo95	['Facebook', 'Super', 'Angels', 'want to', 'Accel']
Tomorrows plan is a little skirt along the coast then a stop in Glenveagh national park , should be a picturesque day . Est 85 mile of riding	['the coast', 'national park', 'Glenveagh']
overnight tonight ... gheyyyy	[]
It sucks when you waiting for the bus with your bike , then it shows up with two bikes already on it .	['the bus']
What A Great Day ! Except For Another Schedule Change :/ Dance Tonightt ! ( :	[]
FRIDAY .... home alone ! xD wanna join me ??	['home alone', 'join me']
@morgancharlie mmm deffo one of ' those ' thought provoking days :/ Never mind , onwards & upwards we shall go !!	[]
RT @PhilKeoghan : Private sneak peak of ' The Ride ' my ride across USA , tonight only , San Francisco 6pm contact Jennifer.Gainza@nmss.org	['The Ride', 'USA', 'San Francisco']
Summer has come and past , the innocent can never last . Wake me up when September ends .	['Wake me up']
Consider the world's top-ranked golfer , Tiger Woods . If a guy who can rake in a billion dollars in a year can also ... http://bit.ly/94sBNr	['the world', 'Tiger Woods', 'a year']
@aplusk What made you laugh ? This did , courtesy of @rainnwilson http://www.officetally.com/rainn-wilson-and-friends-seattle-oct-23	[]
inspired yet again to write .. cant wait to share my testimony .. cant wait for the day when im taken underwater brought back up .. BORN AGAIN	['the day', 'BORN AGAIN']
So happy this hellish week is over ! Nothing that some sushi and sake can fix ;)	[]
I love to see a child's face when they think of the fairies . Like a fairy their little faces light up :)	['the fairies', 'child', 'light up']
RT @DollarVanDemos : #BROOKLYN ! Stay up late tonight to catch the 1 hr special of Demos @ 3AM on BCAT feat @BlissyCakes @YaGirlNicolette ...	['Stay up', 'BCAT']
Reading : Tips : Long-press address bar to share URL : Shared by Renee Or as I'd describe it , a shortcut to the " N ... http://bit.ly/cPZU6A	['Renee']
@Jacksonter Haha , i laugh every time at the memory of your facial expression transforming : L	['every time', 'facial expression']
@JulyzOwn_23 TODAY BESTIE !!! He was at my school , and I saw him on my way to practice !!	['on my way']
@Daniim92 tks :D obviously its one of the happiest day in my life lol	['in my life']
@stefaniwashburn Me too ! I always get so full with chips and salsa before my entree comes ? I like the Verde salsa the best !	['the best', 'Verde']
Ha ! RT @julie_cook : thanks port city java for the caffeine . not so sure my coworkers will be as pleased when i start shooting off emails at	[]
@dolemite4 haha . I might be comin into town next week !	[]
Today the mall was full of moms who love scrapbooking . kill me .	['the mall']
WHATS GOODIE EVERY1 COOLIN COOLIN FEELIN THE BREEZE #FRIDAY #MANIA	['THE BREEZE', '#FRIDAY']
@LightBringer87 I'm too busy asking @leestanleyinnqy formspring questions , I may get around to you later ;)	['formspring']
@write_as_rain you need to listen to that green day song .	['green day']
I only just found out yesterday that KRISTEN BELL is the voice of #GG : l	['KRISTEN BELL', 'the voice', '#GG']
RT @USArmy : #USArmy recognizes today as National POW/MIA Recognition Day . Visit http://www.dtic.mil/dpmo/pow_day/ to read the Presidenta ...	['National', 'National POW/MIA']
@JusSimplyMee I think i'm going to start buying chipotle for ONE lucky girl every week lol	[]
@Mayuko_115 You're welcome ! Yes , it saved a lot of time , although i still had a few twits i wanted to #ff that weren't on the @ffhelper list	[]
Jackie joins Twitter 50 years after JFK campaign [ AP : US News ] http://bzbx.us/uEf #50 #Campaign via buzzbox.com	['Jackie', 'Twitter', 'JFK', 'AP', 'US', 'News', 'US News']
Said it once and I will say it again , when someone shows you who they are , BELIEVE THEM !!	['say it again', 'I will']
Who's excited for #UNM homecoming ?! Check out the COP tailgate ... 65 years is definitely something to celebrate about . Oct . 2 @ 1 p.m.	['Who', '#UNM', 'Oct']
RT @sweetwaterbrew : 1st batch of Exodus Porter went into the brew house today ! going exclusively into the winter edition of the tackle ...	['the brew house', 'Exodus', 'Porter', 'the tackle']
Coding typo of the day : " resluts " -> " results "	['the day']
@YFarahat @n_atalla I stopped buying bottled water for like 2 years :) installed a water filter and it's great . Water taste like water now :)	['bottled water']
For women the best aphrodisiacs are words . The G-spot is in the ears . He who looks for it below there is wasting his time .	['the best']
total 9 for Clark Duke RT @Naathan_B : Just watched hot tub time machine . Funny film ! Quite enjoyable ! Hmm 7.5 /10	['Clark Duke', 'hot tub', 'time machine']
RT @PHANTHANHstic " Good Morning ! Have a pleasant and happy day ! "	['Good Morning']
@sporty191 MUAH !!!!! Hope you had a gr8 day today ! XO	[]
John Acuff joined @daveramseys team ! sweet ! I hope Dave gives him his own show one day , but i'm excited for JA and wish him all the best	['John', 'Acuff', 'Dave', 'all the best', 'JA']
@N4T4YLOR he'll probaly have something completely different now ! Hope your havin a good time	[]
Chicago Weekend Events : Lebowski Fest , Dave Matthews , Latin Music And More : The lively weekend ( well , Friday throu ... http://bit.ly/cLTnyl	['Chicago', 'Lebowski Fest', 'Dave Matthews', 'Latin']
@millyTW__ night :) I'll have more for you to dream tomorrow I'm in tha mood for writing ;)	[]
I hope you will have a blessed and nice time off this weekend . Love your children , love your pets and enjoy all the goodness in your life .	['nice time']
30 Mosques in 30 Days : A Trip Through Islamic America http://dlvr.it/5RdYv	['30 Days', 'America']
@MrsTiaJ no you're the jerk-o for lying . Plus I had just decided like 10 mins before then that I wasn't coming	[]
@Nikitajonesxo mhm fo sho ! i like being able to walk over when im bored ha	[]
@TobyHymer you whittier kids have been on a public bus before :o ? Haha jk !	['whittier']
@niamh_schnapps fuckin yeaaaaaa march 1st omgomg best news !!!!	[]
The EYE of the Storm .... The Calm Before It ...	['the Storm']
waiting one extra day was a STUPID IDEA because now everything is super expensive AAAAAHHH . x_x * freakingoutkhsf *	['everything is']
Soo Glad its Finally Friday ! Thiss week went to slow fo'me:/	[]
This is one of my favorite days on twitter ever . @radhallman and @foofmcewan kudos	['my favorite', 'twitter']
Lmaao ! RT @TheHomieJoseph I hate when people try to have a convo & ask " what's your name " lol com'on now its right there	['I hate']
This week I have peed a lot and have eaten very well . Weekend , please don't kill me .	['This week']
Click 4 Details >>> http://schmap.it/u046mn SEDUCTION SATURDAYS @ CALABASH LOUNGE SEP 25TH #DABOSS #CALABASH #WJE	['CALABASH']
@SneakyLix thx ! btw i'll text u in a bit ! i just got home , trying to dL some songs , and gonna head to my bf's . i'll text u when i get there	['get there']
@kajelly_milk (: but hey .. its all good . i like him haha & omg jason kept touching me today D; i was like man stop touching O:	['jason']
Thank you @ZUNE for todays Album of the Day . Good choice that fits perfectly .	['Thank you', 'the Day']
RT @LightCMS : Day 6 : Win 1 of 10 iPads from @LightCMS - RT to enter or read more http://speaklight.com/iPad	[]
HAPPY B . DAY TORA * OOOOOOOOO * ~	[]
Artful Pumpkins Ladies Long Sleeve : Artful Pumpkins Ladies Long Sleeve . Altered vintage design . Backgroun ... http://bit.ly/9RRYOI #tshirts	[]
@HeartLessVick Lol , was george with carmen today ;D	['carmen', 'george']
Sunday can you please hurry up and get here already ?! I want to see @nickjonas @kevinjonas @joejonas already ! Concert's going to be rad ! :P	['get here', 'want to', 'Concert']
@dena33 have a good weekend ! Next time I'm at Gardens we are joining eatery forces .	['good weekend', 'Next time', 'Gardens']
If Partner left me and BB I would not hunt him down . I'd take his calls but it would be his job to make sure he spent time with BB .	['Partner', 'BB']
you know its bad when you do that , but you don't care .	[]
@victorcajiao So can I call in sick on my last day on the job so I can go out there and look at it ? :-)	['the job', 'I can']
Been working like crazy these past couple dayzz -__- ... well at least for a high school student ... got home today and CRASHED =D	['high school']
RT @ZodiacFacts : #ZodiacFacts As a #Pisces you may find your thoughts racing so fast you can't keep up with them .	[]
ASPCA PETA HSUS .. Animal rescue or BIG BUSINESS ? http://tl.gd/63aeok CK OUT THIS SERIES OF LINKS BEFORE YOU DONATE	['PETA', 'Animal rescue', 'BIG BUSINESS']
@leesalulu perfect round for us this week .... and yes , I'm convincing myself it's as hard as any other week !	['perfect round', 'this week']
There is like no mayo on this sandwich ! Ugh .... next time Im going with my dad	['next time']
The only problem with taxing ur car online is its no fun not paying anything for a 5litre car when its a classic :)	[]
Oscar's new favorite pass time is running as fast as he can from one end of the house to another yelling BuhBYYYYYE	['as fast as', 'new favorite', 'the house', 'Oscar']
@batonabike I feel really sorry , the ratbags , maybe in a few years when you are straight and enjoying it all , you will forget	[]
@BundleHunt Is it being released today or soon ?	[]
Man I swear I bought 2 new outfits but it's cold them dresses not gettin worn today ....	['I swear']
its time to have some fun tonight : )	['its time']
Anja Rubik Model in Lingerie of the Day http://f.ast.ly/DCaEM	['Anja Rubik', 'the Day']
@jeffpulver @wildman94 @MusicIsGood4U thanks for hitting me and @shoewolf up . Let me know when that DM with all the info has been sent .	['Let me know']
Wow , I'd forgotten when Jenny was actually really nice lol #theLword	['Jenny']
no mins ha i guess i aint goin to town today ha just gonna stay and ball ....	[]
Latest Fsbo Auctions | No Qualifying Loan : US $32.00 . End Date : Tuesday Oct-12-2010 20:30:22 PDT Buy It Now for on ... http://bit.ly/9IV2ex	['US', 'Buy It Now']
RT @relentless1323 : I hate when a nigga shows me a video of him on his phone , gettin some head from a shorty . Im Like yo ... U just showed ...	['I hate', 'gettin some']
Watching The Room for like the fifth time . It's a classic . Tommy WIseau is a genius . #theroom #tommywiseau	['The Room', 'Tommy WIseau']
Saturday Night , Knighttime Billiards with 4D ! Lets help Bonita celebrate her Birthday ! Come early and make a toast !	['Saturday Night', 'Billiards', 'Bonita', 'make a toast', '4D']
the current library plan is to go Monday morning . first books on shelves , then holds , then check bookstore on way home for The Replacement .	['the current', 'Monday morning']
Really wish I can see a rocket to the moon today . They would totally make my day .	['I can', 'the moon', 'my day']
@cdellz11 yeah . But it's been so long . I miss home . But u still on ur grind tho . That's wassup .	['so long']
OH : Power nap . I need it . Its been a stressful week . I'm excited for xmas , haha . Goodnight . :) http://bit.ly/9fQGkC	['Power nap', 'xmas']
RT @_MyNameBrandon_ @Mr_Marcell lol ! yeah aint nothing there but my family . < thaz really it now .. to b honest ... when u coming dwn to sam	['my family', 'sam']
Please , I wanna apologize in advance for my boundless verbosity tonight . I'm UI(as in DUI ) feel me ?	['I wanna', 'UI(as', 'DUI']
RT @broniaisdeadly : http://www.youtube.com/watch?v=yRyK9doEmHE < A DAY IN THE LIFE OF ME . Go comment and subscribe and I'll love you ...	['IN THE LIFE', 'love you']
Ducks sign LW Beleskey to 2-year extension - San Jose Mercury News http://dlvr.it/5RcvP #ANADucks	['San Jose Mercury News', 'Ducks']
What my #Followers Doing tonight ?	[]
every time u smile =)	['every time']
@Miss_SarahBaby hmmm .. u kno when happy hour ends ?	['happy hour']
RT @VanessaSCassie : Ok , one more tweet before I go : Fresh Look Fridays post was on an math games site for #smartboard http://bit.ly/b4MXHG	['Fridays', '#smartboard']
Asprin , check , cup of tea , check , pillow , check , warm sleeping bag , check , fanfiction on the laptop , check . Time to settle down and relax	['sleeping bag']
Shopping day with JC - so excited !	['JC', 'so excited']
@miaturner OOC : Feeling a little volent today , huh ?	['OOC']
@CarolynAWebster I'm okay . Had better days .	['better days']
@bakontrack I was on a successful business trip !!! I had no time to tweet !!!	['business trip', 'no time']
First week of school has been crazy . Everyone is very moody and tired !	[]
Branching out from Lincoln park after dark ... Hello " Russian navy " it's like the same thing but with glitter !	['Lincoln park', 'after dark', 'Russian navy']
#DiggyFollows50 @Diggy_simmons FOLLOW ME PLZ CAUSE IM HAVIN A BAD DAY AND WOULD BE SO MUCH BETTER IF U FOLLOWD ME . BUMPING AIRBORNE RIGHT NOW	['SO MUCH BETTER', 'FOLLOW ME', 'BAD DAY', 'RIGHT NOW']
Time to begin looking for somewhere to live around Coolum . Sun , sand , surf and bikinis . Looking forward to my new phase in life .	['to live', 'Sun', 'Looking forward', 'Coolum']
RT @SdotYoung : @MRsPRETTyKANDi If i could be with u for our b'days that would be amazin ... << ii DEF agree Boo .. we should do our best to	[]
Balloon glowing ? We'd love to see you before or after at Pi ! CWE and Delmar are around the corner , Kirkwood & ... http://fb.me/I6SZ52nW	['see you', 'Pi', 'the corner', 'Delmar', 'Kirkwood', 'CWE']
Every seven years you lose around half of your friends , and replace them with new friends .	[]
2 days till #BoardwalkEmpire	[]
Rain rain go away come back when it's not my dads birthday .	['Rain rain go away', 'come back']
Justin Timberlake ft . Beyonce - Until the End of Time http://t.co/kUe6djJ via @youtube	['Justin Timberlake', 'Beyonce', 'the End of Time', 'Until the End']
What game come on tonight ?	['come on']
Tonight @AZUKARlounge Baka Boyz LIVE w/ DJ Elements 103.5 & Soreal . $150 VIP booths tonight . Text 916.960.8120 for NO cover glist !!	['Baka', 'Boyz', 'DJ', 'Baka Boyz', 'Soreal']
RT @Sexstrology : Virgos need to learn how to relax at the end of the day . You tend to stress yourself out due to your high standards .	['the end', 'the day']
Second-year CBs Jerraud Powers and Jacob Lacey don't remember much about Manning Bowl I . Both were college ... http://bit.ly/at71uZ	['Jerraud Powers', 'Manning Bowl', 'CBs', 'Jacob', 'Lacey']
RT @ATeenageThought : i hate it when my parents want me to come home early from a party , but i wanna stay really late #ATeenageThought	['i hate', 'come home', 'i wanna']
The Wolves to host the Lions for game time ! Follow us for scores and updates throughout the game !	['the Lions', 'game time', 'the game']
not sure how i feel about the rain right now ... but what a wonderful day it has been ... can't wait for later tonight !!!	['how i feel', 'the rain', 'right now']
Today is a logistical nightmare ! Committed to a b'day party attendance but discover I have 2 kids , no car & only plastic money . #amplotting	[]
RT @WholeFoodsATX : Anyone out there getting excited 4 ' Dazed & Confused ' on our rooftop plaza tonight ? Movie starts at sundown ! #30thBday	[]
RT @pinkbikeralph : Working at BAR tonight . 1309 sansom st. More secrets than Copa . Shhhhh ...	['Copa']
YOU ! @STARLIGHTWALTZ ! Do you want to go to art showing with me ? At 7 ? Tomorrow ? Please ? <3 you	['Do you want to']
smh i love my male friends ...... my female friends well i like yall most of the time lol	['the time']
Want to see the view from our floor of yesterday's police car mayhem during the shooting incident ? http://wp.me/11Azj	['Want to', 'the view', 'police car', 'the shooting']
@Angie_Jerez will u b attending to da Mexican parade in 5th ave dis Sunday ?	['Mexican']
Anybody who waits until AFTER the last item is scanned and the total is calculated to get out a checkbook or d ... http://tinyurl.com/2c4wqjv	[]
ahhh the disapointment , after all them awkward bait moments .	[]
we need some time alone we need to let it BREATH	[]
RT @Purpl3_Kiss3s : when a female thinks she's in love u cant tell her shit !	['tell her', 'she']
Every night & every day !!	['Every night', 'every day']
After 2 months not even a word . Guess ure fine .. thanks for being nothing but a fake . Seriously cycling ?	[]
The Town was a really good movie !!! Now passing the time watching " Easy A " until " Devil " starts !	['The Town', 'good movie', 'the time']
Ahaha , the look on @__nancy ' s face when someone asks ' What part of the States are you from ? ' is PRICELESS .	['the look']
@singingislife15 Follow Friday :)	[]
: Dan is using his new course and made 12'000 Gold in 2 Weeks ! You can do it to ! spon http://tinyurl.com/364pkdn http://bit.ly/cJfTJ8	['Dan', 'Gold', 'You can do it']
Shot with a Jaybilizer today ... my teacher designed this , totally sweet ! http://jaybilizer.com/products/jaybilizer-hdslr/	['Jaybilizer']
@HotwifeKay after Big Maxxx @killerCram " left his mark " on my hottie SlutWife : http://tinyurl.com/25gxuvq	['Big', 'Maxxx', 'Big Maxxx']
#obsessions tonight ! Ima do some new tatts on my self I feel like showing off !	[]
@KatiesPizza On the menu at #playwithyourfood this Sunday : hot , fresh ricotta donuts with blackberries and honey . http://tiny.cc/6dshg	['#playwithyourfood', 'blackberries']
@maureenjohnson : Zombies . You always have to be careful because you never know when they'll strike .	['never know']
Just casually stalking Cheryl AND Dermot tomorrow .... NO BIGGIE	['Cheryl', 'Dermot', 'BIGGIE']
@justinbieber concert tonight ! <3 so pumped !! :D going to leave the concert being his favorite girl ! And I will be one less lonely girl ! <3	['the concert', 'favorite girl', 'one less lonely girl', 'I will be']
SCOTT WEILAND Announces Memoir Release - Music News Net : MUSIC NEWS - Simon & Schuster has announced a March 8 , 20 ... http://bit.ly/ayLf9C	['SCOTT WEILAND', 'Simon', 'Schuster']
Getting the 10am bus tomorrow #thethingsido	[]
Relieved that the first full week of school is over ! So happy I can sleep in tomorrow !	['the first', 'I can']
@Terrysagirl love to , it's iffy though , i don't wanna give up privacy for the guys . But after episode one , they should be on imdb ;)	['give up', 'the guys', 'imdb']
It sucks when you eat old cookies for lunch and they make you feel barfy .	[]
Tomorrow - London - Hyde Park Corner - 1.30 pm . If you cannot be there - send out supportive thought waves !	['London', 'Hyde Park Corner']
@KisssMyASS_ when ya birthday	[]
Gonna be on national television monday and on the internet tuesday . Interview ' cause of the text I wrote on the day against homophobia	['the day']
Jets coach Rex Ryan pleased with the offense this week in practice http://bit.ly/9GkyjU	['Rex Ryan', 'this week', 'Jets']
Toy story 3 tonight on the lawn !	['Toy story 3', 'the lawn']
IF YOU HAVEN'T HEARD ... THERE IS AN AMAZING SHOW GOING ON TONIGHT AT JANNUS LIVE ... SUENALO ! FROM MIAMI W/ SHAKEMODE AND INDIGENOUS ...	['GOING ON', 'MIAMI', 'JANNUS', 'SHAKEMODE']
HPU pau for the day ! Happy Aloha Friday !!!	['the day', 'pau']
Morning ....! I really never enjoy to sleep ... hhmmm .. Have a nice saturday all ..! Hehehehehe	[]
RT @GraceThorson : I enjoy reading , because I can visit different places/time periods , and I always learn something from it . @ChristianScroll	['I can']
MOTOGP : Round 13 , Motoland of Aragon , Spain , day one . Marlboro Ducati's Casey Stoner wasted no time in taking ... http://fb.me/HSTaAyrb	['Round 13', 'Aragon', 'Spain', 'day one', 'Casey Stoner', 'no time', 'Marlboro', 'Motoland']
@Iamjustinbieb i know that today is follow friday . so im guessing thats what i means . but im not suree lmaoo	[]
An entire stack of papers has disappeared . I think that is a sign to wrap up for the week .	['the week']
TOP EVENT --> http://schmap.it/98hCOt - And tomorrow the @BaristaThing Event goes down - open to pros , home baristas , c ... ( via @CoffeeGeek )	[]
Lmao . I have a feeling Imma get yelled at tomorrow . Big time . XD Ehh oh well	['Big time']
The forced ads in ngmoco games are outstandingly annoying ! Looks like it's time to delete all their apps from my iOS devices !	['ngmoco', 'iOS']
@joshHnumber1fan its okay then .. make it when it works :D	[]
@ItsMariaSmith @PaddiStone hahah ohkayy when ?	[]
June Fest 2010 ~ Forgotten Door LIVE ! http://fb.me/G1pof3lO	[]
This is a battle song .. Brothers and sisters .. Time to go to war !	['Brothers and sisters']
RT @BettyCrocker : Less than 25 followers to go ! Let's reach 11,000 before the weekend ! :) http://ht.ly/2G4sQ #sweepstakes	['the weekend', 'Let']
Fave Looks from SS 2011 Fashion Week : Jason Wu read more http://bit.ly/brsV4V	['Fashion Week', 'SS', 'Jason Wu']
@jenniferehle : Did you get heavy rains up there yesterday ?	['get heavy']
RT @davehodg : Pope says atheists pick & choose their morals . Correct . Today I will be frowning on child abuse & not having a problem wit ...	['Pope', 'I will be', 'child abuse']
Accounts Payable Coordinator North York - $37K ( 1 year Contract)Location : Toronto , Ontario , CANADA ... http://bit.ly/aOe78A #jobs	['Accounts Payable', 'North York', 'Toronto', 'Ontario', 'CANADA']
@coulditbeJenG It was 20 years ago . They're coming after me , I just know it .	[]
Love me when I least deserve it , because that's when I need it the most .	[]
of my days like paris hilton doing blowjobs on camera to earn enough money to feed my angry birds habbit until i die	['paris hilton']
jus about to get dressed and leave again .... smh a very long day	['long day']
" In business , Tuesday is usually the most productive day . For Twitter , is when people tweet the most " - Ironic , isn't it ?	['In business', 'Twitter']
Got some close friends from back home over tonight . Might get a little carried away woot	['back home', 'carried away']
I madw my email when i was 10 and yeah its really embarissing lol	[]
good day . bad day . good day ? merek minuman sachet	['good day', 'bad day', 'minuman']
@drance just wait til you discover that all tableviews scroll up when you tap the top bar where the clock is :)	['the top']
RT @Rammsies : haha thats awesome RT : @aplusk This made me laugh today http://bit.ly/bjOhom <--- courtesy of splurb . What made you laugh ?	['splurb']
@EnticeMeBaby Well that makes sense . When you have real life trauma , it can often drain your energy & you just withdraw into yourself . I do .	['real life']
@urbanturbanguy Ooh , I could be your long lost Mexican sister for this .	['Mexican']
Why do that to begin with ? lols . @mggykills @dieSIBdie When on vacation in Cebu , you do not sniff your roommate's boxers . #rulesbetweenmen	['Cebu', 'roommate']
Going on a ' date ' with Whitney tonight , :P . Haha .	['Going on', 'Whitney']
is at Home-Going Well - I take a Break-Online Saturday 4:30 pm- 6:00 pm ET- Good Day- Good Night-Good Week-End !!!	['take a Break', 'Good Day', 'Good Night', 'Home-Going']
was WAITING for this day for specific reasons . now im leaving again & will have to try this bullshit AGAIN next friday . dawg wasted my time	['my time']
SATURDAY NIGHT CAST PARTY INVITATION http://conta.cc/csqjCc via #constantcontact	['SATURDAY NIGHT']
@jonasbrothers concert tomorrow with my crazy chicaaa	[]
Man : Hey there , havent I seen you some place before ?? Woman : Yes , and thats why I dont go there anymore	[]
tonight was pretty good :) but soo coldd :(	[]
Today was a good day , enjoyed myself :)	['a good day']
Wtf ? The library closes on Friday ?	[]
@skaffbm love that sonngg !! are u going to his concert when he goes to richmond ??	['richmond']
@PageVGP I'm pretty sure it doesn't exist .. I said it when I was really young , and I still say it now ..	[]
Season 3 of Friday Night Lights ... It seems that no one at Dillion High School graduates .	['Friday Night Lights', 'High School']
RT @Madslanger : Performing in Naples tomorrow with N.E.R.D. , Maroon 5 and others at the MTV show . Tonight Stars in Vordingborg - few tic ...	['Naples', 'Maroon 5', 'MTV', 'Stars', 'Vordingborg', 'N.E.R.D.']
RT @JoeCienkowski : When people try to say how mean and harsh God was , remind them the true nature of God came in the person of Jesus Christ	['God', 'Jesus Christ']
@MinkyMoo I really didn't want one either but I literally laughed out loud when I read it . I'm sure that is not the reaction she wanted ;)	['want one']
Had 3 doctors appts today ... fun stuff . leaving for the bahamas tomorrow though !!	['the bahamas']
Sooo I jus found out that the rising senior class of The @Oprah Leadership Academy is comin to my skool nxt Saturday yeeee !!! :)	['the rising']
.. it's that time of year when dreams of glassy waves turn to fluffy powder .. neither of which I will get to enjoy because I have a real job .	['turn to', 'I will']
Pedersen : Hangeland won't be at Fulham for long http://bit.ly/aCXCNE #blackburnrovers	['Fulham', 'Pedersen', 'Hangeland']
RT @tommcfly : Working on some final Super Site stuff all day . Can't believe the Super City is nearly open !	['all day', 'Super', 'the Super', 'City', 'Super City']
mothers day greeting cards :) Surrounded by Mothers Day and Dreading It ? http://bit.ly/a7d7tg	['Mothers Day']
Still dislike Early Decision for most kids , but Early Action can be great when used thoughtfully . http://ow.ly/2G1Cn #admissions #colleges	['Early Decision', 'Early Action']
Lohan faces more jail after failed drug test : Per the terms of her probation in her DUI case as laid out last mont ... http://bit.ly/cXoiO2	['drug test', 'Lohan']
@JBsHOTNESS i do talk about him every second she like his songs for a week :/ @clarebieberx np ! @FutreTeenStar sure !!	[]
took the combine out for a spin today , but the barley is still a tad on the wet side .	[]
RT @cityofcalgary : Free swimming and golf tomorrow for @cbc Sports Day in Canada #yyc #sportsday http://ow.ly/2G4sf	['Sports Day', 'Canada']
Adam Beyer : Swedish Techno Pioneer : When it comes to his own DJing and sound , he's slightly more diverse and likes ... http://bit.ly/c1E0I1	['Adam Beyer', 'he']
Institutional buying lifts UFlex 30% in a month http://bit.ly/bOAk9y	['UFlex']
RT @MyLifeAsLiz_Liz : When did being a nerd become cool & why wasn't it when I was in high school ? I would've been the most popular chick ...	['high school', 'most popular']
@FritzTitz it took me 2 tries , but after the 2nd he became one of my favorite .	['my favorite']
ohh right ... im an actor ... back to work tonight WOOT	[]
RT @DeepakChopra : Split me , make me nothing . Fling me across the fabric of space and time . From nothing once again , make me everything -Rumi	[]
The pope isn't really making much of an effort . He's wearing the same clothes as yesterday .	['He']
Sweet ! RT @SimoneSOliver : Here's the London Fashion Week schedule : http://nyti.ms/bW0N3u	['London Fashion Week']
The British have a remarkable talent for keeping calm , even when there is no crisis .	[]
@speedy1013 I ain't seen them !! Hmm maybe have to download next time we have a movie night here . Zombies are badass !	['next time']
RT @fredthompson : WH rejects " global warming " , favors term " global climate disruption " . Ya know , I remember back when we used to call it ...	['global warming', 'WH']
When you're dreaming with a broken heart	['broken heart']
